controller,seed,episodes,success_rate,mean_return,mean_fired_intensity,mean_jet_accumulated_impulse,mean_jet_peak_force,mean_cumulative_valve_command,mean_valve_command_per_decision,correct_bin,wrong_bin,missed_nozzle,missed_bin,truncated
Original SAC,42,100,1.0,58.13456440657413,0.9428847312927247,0.07877817539378017,0.7409492198641126,1.817885485291481,0.3169040230129447,100,0,0,0,0
Original SAC,43,100,0.99,57.342442421548476,0.9433959120512009,0.07813856369895877,0.7401394606175391,1.7969006803631782,0.3131908038570767,99,0,0,1,0
Original SAC,44,100,1.0,57.96821090855766,0.9326006466150284,0.07504794951269785,0.7057453082883459,1.8523694649338722,0.31503937650152614,100,0,0,0,0
Original SAC,45,100,0.98,56.638909381056884,0.9286773103475571,0.07420348611062652,0.6977939328512381,1.8223562690615653,0.31197772670927504,98,0,0,2,0
Original SAC,46,100,0.99,57.45002357502396,0.9467972522974014,0.08416550615172849,0.795770485972975,1.8121779444813728,0.3159803864260514,99,0,0,1,0
Improved SAC,42,100,1.0,57.98300497200681,0.9177282202243805,0.07544221063186175,0.7069766231971454,1.870912284553051,0.3273914323562667,100,0,0,0,0
Improved SAC,43,100,0.99,57.2012956040064,0.9184747725725174,0.07468894483194156,0.7046238126397895,1.8448123615980148,0.321962834301449,99,0,0,1,0
Improved SAC,44,100,1.0,57.81492449025085,0.907722852230072,0.07189025861407035,0.6728021042027725,1.9092802166938783,0.3253034219145775,100,0,0,0,0
Improved SAC,45,100,0.98,56.50061506644517,0.9062215346097946,0.07118808504048622,0.6672552668766525,1.8894466423988343,0.32383104973889537,98,0,0,2,0
Improved SAC,46,100,0.99,57.29637765334348,0.9188848358392715,0.08023202734613731,0.7550575077852675,1.8817330089211464,0.3269574365317822,99,0,0,1,0
