controller,seed_count,episodes_per_seed,total_episodes,mean_success_rate,success_rate_sd,mean_return,mean_fired_intensity,mean_jet_accumulated_impulse,mean_jet_peak_force,mean_cumulative_valve_command,mean_valve_command_per_decision,policy_path,correct_bin,wrong_bin,missed_nozzle,missed_bin,truncated
Original SAC,5,100,500,0.992,0.008366600265340763,57.506830138552225,0.9388711705207825,0.07806673617355836,0.7360796815188422,1.820337968826294,0.3146184633013748,runs\rl\sac\sac_continuous_formal_v2_seed42\sac_sorting_policy.zip,496,0,0,4,0
Improved SAC,5,100,500,0.992,0.008366600265340763,57.35924355721054,0.9138064430952072,0.07468830529289944,0.7013430629403254,1.879236902832985,0.32508923496859415,runs\rl\sac\sac_continuous_improved_pilot_v3_seed42\sac_sorting_policy.zip,496,0,0,4,0
