#{"t_start": 1785871051.1098237, "env_id": "None"}
r,l,t
51.648159,7,49.417477
51.689032,7,49.6684
50.918381,7,49.812887
50.28325,5,50.061411
50.913939,6,50.178798
49.895354,5,50.444803
-14.016144,6,50.798202
51.25259,6,50.935983
49.891577,5,51.098363
49.830061,5,51.337605
49.901099,5,51.558821
50.386655,5,51.781353
50.251413,5,51.909887
49.946444,5,52.075535
51.46329,6,52.216766
51.002416,7,52.367001
50.331776,5,52.598187
51.231713,6,52.844709
51.571592,7,53.093093
51.196224,6,53.206351
50.481815,5,53.326229
50.946407,6,53.451655
50.879251,7,53.707464
51.009691,7,53.84933
51.21326,6,54.061061
50.56272,5,54.179397
51.234082,6,54.311185
49.873868,5,54.563331
50.938231,7,54.793456
51.747109,6,54.932529
52.52587,6,55.06469
51.283657,6,55.193513
51.088926,6,55.308867
50.172188,5,55.478184
52.388244,6,55.686048
51.81835,6,55.896307
50.066006,5,56.014851
49.828432,5,56.23262
51.524467,7,56.463788
49.986113,5,56.701429
50.4678,7,56.846378
51.452099,6,56.965598
50.832439,5,57.190743
50.142901,5,57.365654
52.389589,6,57.574653
50.07525,5,57.721832
51.012275,7,57.968782
50.365093,5,58.138974
50.632853,7,58.282898
51.046079,7,58.516617
51.107989,7,58.747645
50.271058,5,59.023491
51.775369,6,59.16361
51.454139,7,59.399867
49.825746,5,59.555564
50.904541,6,59.684909
51.510626,6,59.810253
50.894852,6,59.928651
50.54429,5,60.031385
50.961918,5,60.259411
51.108656,6,60.381044
50.397731,5,60.49864
51.137449,6,60.632469
50.08272,5,60.793226
50.224112,5,60.896029
51.300315,6,61.108203
51.006755,7,61.253445
50.266819,5,61.43308
50.987096,6,61.560327
50.985904,6,61.69309
50.961624,7,61.93957
52.306713,6,62.148
51.592366,6,62.289192
50.750124,7,62.424941
51.611504,6,62.631329
50.241629,5,62.760581
50.955959,6,62.884789
52.322097,6,63.007086
50.945269,6,63.133361
50.902465,6,63.251801
52.02058,6,63.392326
49.916493,5,63.558256
52.936413,6,63.760823
50.947002,6,63.879954
51.192711,6,64.005208
50.462442,5,64.162389
50.379021,5,64.263919
50.945071,7,64.53291
50.488622,5,64.661137
51.64667,6,64.802871
51.303371,7,65.060585
50.95009,7,65.196168
51.180171,6,65.40215
49.961254,5,65.491473
50.759164,5,65.635548
51.279603,7,65.881326
49.943464,5,66.123921
50.91224,6,66.251028
50.442224,5,66.440442
50.910584,7,66.689179
51.016212,7,66.936182
50.928341,6,67.049565
51.559028,6,67.164051
50.087416,5,67.427331
51.468576,6,67.539486
50.607126,5,67.753426
50.151832,5,67.988087
50.509543,5,68.079872
50.222009,5,68.179199
52.71452,6,68.305191
51.108229,7,68.458064
51.579801,6,68.596978
50.562676,7,68.754048
50.59356,5,68.910249
50.063874,5,69.085062
49.951207,5,69.316899
