#{"t_start": 1785745432.8403468, "env_id": "None"}
r,l,t
-14.853791,3,32.981797
-15.321902,3,33.037428
-15.066902,3,33.104178
-15.565712,3,33.207064
53.29844,4,33.454812
-14.904791,3,33.722906
-14.545712,3,33.788829
-14.368251,3,33.884495
55.498853,5,34.143708
-14.368251,3,34.278307
56.860733,5,34.590827
-15.031251,3,34.692585
-8.874028,5,34.806103
-15.565712,3,34.906233
-12.219004,4,35.025617
-14.519172,3,35.108485
-15.259712,3,35.223155
-12.525004,4,35.585083
-14.647712,3,35.685256
-15.055712,3,35.748529
-14.658902,3,35.81375
-14.572251,3,35.893133
-15.310712,3,35.960941
-12.426726,4,36.058991
-12.069726,4,36.155165
-15.437172,3,36.233893
-15.437172,3,36.298338
-14.290712,3,36.441521
50.809209,3,36.920141
-14.519172,3,36.989406
-15.031251,3,37.081179
-15.286251,3,37.175019
-15.474902,3,37.257123
-15.437172,3,37.336234
-14.403902,3,37.406807
-14.519172,3,37.46909
52.83944,4,37.747459
-14.403902,3,37.809454
-13.552251,3,37.957156
-15.159791,3,38.023603
-15.780902,3,38.102847
-15.259712,3,38.180462
-12.117004,4,38.298734
-15.310712,3,38.377399
-15.388251,3,38.523614
49.840209,3,39.018129
-15.031251,3,39.10417
-15.270902,3,39.175504
-15.080172,3,39.250878
-15.057791,3,39.642735
-15.335172,3,39.719338
-15.108791,3,40.053911
-15.641172,3,40.132708
-15.210791,3,40.466882
-15.743172,3,40.542803
-14.190791,3,41.134063
52.172718,4,41.59465
-15.117902,3,41.666393
49.789209,3,42.161097
-15.592251,3,42.31726
-15.423902,3,42.392713
-15.284172,3,42.453819
-15.031251,3,42.542962
-15.004712,3,42.616549
-15.321902,3,42.69889
-14.496791,3,42.967593
-14.953712,3,43.102359
-14.470251,3,43.170833
-11.862004,4,43.298047
-15.184251,3,43.416748
-14.417172,3,43.501385
-14.621172,3,43.566966
-15.321902,3,43.635806
-15.159791,3,43.787385
-12.887587,4,43.877949
-14.470251,3,44.021692
-14.955791,3,44.336116
-13.740902,3,44.41758
-14.215251,3,44.493894
-12.938587,4,44.576331
-15.388251,3,44.672865
-14.760902,3,44.741646
-15.157712,3,44.861721
-14.572251,3,44.947568
-14.496791,3,45.200195
50.146209,3,45.366058
-15.437172,3,45.43886
-15.321902,3,45.5357
-12.428587,4,45.616152
-11.807283,4,45.911458
-15.082251,3,46.017673
-15.539172,3,46.098413
