#{"t_start": 1785736643.2448115, "env_id": "None"}
r,l,t
57.958724,5,44.731558
-14.439438,3,44.777026
53.545496,4,44.96631
-8.250909,6,45.061431
-11.254917,4,45.115146
54.203294,4,45.348111
57.284435,5,45.56697
52.802338,4,45.702621
-14.488536,3,45.740695
-9.20795,5,45.794095
-9.054686,6,45.841808
-13.484664,3,45.879376
-14.314757,3,46.049119
-14.969684,3,46.10611
-13.649351,3,46.14374
-14.502836,3,46.313816
-14.569482,3,46.352564
-15.526368,8,46.441401
50.95581,8,46.506319
-14.673476,3,46.55361
-13.69398,3,46.600054
-9.89564,5,46.661319
-7.4961,6,46.750388
54.193112,4,46.955806
-8.417731,6,47.236004
59.087894,6,47.310139
50.822461,3,47.45104
56.751348,7,47.571471
-13.505514,3,47.610534
-14.726646,3,47.64554
-40.361498,16,47.686593
-14.437763,3,47.818463
-12.753742,8,48.122321
-14.18608,3,48.165481
-14.504599,3,48.202526
55.98323,7,48.26303
-11.944493,4,48.306611
53.327859,4,48.379346
53.558457,4,48.517853
-14.50594,3,48.555012
54.194044,4,48.630144
-8.188216,5,48.673802
-13.646622,3,48.713916
56.408672,5,48.797787
-7.950188,5,48.931367
-14.472895,3,48.97506
-12.411272,4,49.022652
-11.653434,7,49.103824
-14.666422,3,49.27422
-14.724575,3,49.310863
-9.258453,5,49.617541
57.14415,5,49.778205
-14.391785,3,49.948199
51.508256,3,50.215263
57.109958,5,50.28888
-15.521939,3,50.33334
-14.642748,3,50.369772
-14.256635,3,50.424402
53.227234,4,50.570269
54.206087,4,50.675977
57.216131,5,50.724288
-14.477483,3,50.79849
49.474182,3,50.899653
-14.732124,3,50.935214
-14.260878,3,51.07284
-12.191246,4,51.29862
-13.487264,3,51.48811
51.27461,8,51.53405
-11.45511,4,51.602739
-11.509691,4,51.64696
-12.662594,4,51.729806
-14.232707,3,51.782109
-8.222971,5,51.829884
-9.0654,7,51.90739
-12.189891,4,52.088006
-39.522095,17,52.102084
-13.744994,3,52.13763
57.94819,5,52.251541
-13.49245,3,52.366283
55.994738,5,52.506551
50.687978,3,52.59418
-14.311076,3,52.643767
-10.024194,7,52.721806
-12.530669,4,53.032394
-14.469987,3,53.074513
56.284424,5,53.123224
56.937604,5,53.205194
44.93206,9,53.257442
58.025082,6,53.367795
-14.219336,3,53.459749
-14.496791,3,53.513006
-8.948836,6,53.561519
29.399823,11,53.643032
-13.500037,3,53.819315
