#{"t_start": 1785771729.2566907, "env_id": "None"}
r,l,t
-15.23872,3,42.171247
-15.603849,3,42.367584
-15.377244,3,42.600407
-15.278915,3,42.865058
-15.695504,3,42.965781
-15.187779,3,43.298776
-15.510405,3,43.391959
-15.088826,3,43.661735
-15.484848,3,44.101804
-14.183746,3,44.220056
-14.155288,3,44.377678
-15.579648,3,44.485903
-15.40319,3,44.736634
-15.295035,3,45.072394
-15.314034,3,45.173797
-15.505251,3,45.306535
-15.110927,3,45.425826
-15.537154,3,45.525896
-15.537751,3,45.630245
-15.511628,3,45.760533
-15.528635,3,45.872214
-14.506676,3,46.098721
50.59985,3,46.558825
-14.478268,3,46.907666
-15.148471,3,47.039162
56.877483,6,47.325068
-13.495024,3,47.810409
53.34694,4,48.311985
-14.514377,3,48.837482
-15.497144,3,48.939615
-13.611124,3,49.069519
-15.469274,3,49.270218
-15.470523,3,49.624214
-15.510399,3,49.752431
-15.502929,3,50.012058
-15.436358,3,50.394714
-15.466012,3,50.49992
-15.449248,3,50.637844
-15.432713,3,50.961612
-15.403951,3,51.243256
-15.548733,3,51.598632
-13.549259,3,51.79239
-15.5803,3,51.950489
54.078224,4,52.32868
-15.461871,3,52.453555
-15.423211,3,52.744315
52.909775,4,52.894449
-15.457689,3,53.234596
-15.340586,3,53.579804
-15.506915,3,53.88384
-15.25192,3,54.023789
-14.674245,3,54.126345
-15.547485,3,54.302275
-15.448962,3,54.75456
57.557024,5,55.284666
-15.516665,3,55.526359
-29.351809,10,55.797753
-15.282455,3,55.903076
-15.304097,3,56.082443
-15.476936,3,56.272413
-15.410309,3,56.394471
-15.433261,3,56.713352
-13.504123,3,56.839564
-15.507652,3,57.178647
-15.37721,3,57.327545
49.492727,3,57.559648
-15.488443,3,57.84445
-15.387169,3,58.15302
35.973884,10,58.739551
-15.518716,3,59.117553
-15.511932,3,59.435164
-10.752202,7,59.647614
-11.84852,4,59.848264
-15.385908,3,59.951418
-15.515254,3,60.295317
52.271773,4,60.54014
-15.757205,3,60.6404
-15.329091,3,60.977779
-15.558964,3,61.09412
49.662073,3,61.513426
-34.425722,11,61.801094
-15.330459,3,61.938102
-15.4198,3,62.222671
-15.563005,3,62.361908
-15.449045,3,62.503618
-15.276108,3,62.630827
-15.493267,3,62.857834
-15.474575,3,63.157707
-15.483599,3,63.289588
-15.519961,3,63.559614
49.49138,3,64.345414
-15.522195,3,64.692914
-14.569253,3,64.826964
-7.688751,5,65.030563
-15.25323,3,65.446352
-12.357686,4,65.660192
-13.167624,4,65.892031
-15.448002,3,66.250712
-14.500699,3,66.376597
-15.425867,3,66.699489
-14.59419,3,66.873898
-15.389289,3,67.141548
-14.494461,3,67.245687
-15.563263,3,67.399398
-15.503469,3,67.686653
-15.619983,3,67.918747
-14.506983,3,68.282319
-15.481066,3,68.636041
-14.532407,3,69.017768
-15.180604,3,69.158801
49.612569,3,69.503523
-15.497423,3,69.618155
-15.507722,3,69.964437
-15.432476,3,70.157725
-14.486906,3,70.265101
-15.167832,3,70.379388
-15.49535,3,70.502667
-15.456746,3,70.796351
-14.544439,3,70.905146
-15.539838,3,71.008829
-13.744877,3,71.115002
-11.838529,4,71.475387
-14.348257,3,71.791445
52.158947,4,72.140668
-38.452539,17,72.377765
-13.542085,3,72.488962
-14.45567,3,72.633772
-14.23921,3,72.884207
-15.55274,3,73.281487
49.501143,3,73.636731
-13.540298,3,73.74246
-13.548766,3,73.890087
-15.237229,3,74.22319
52.059502,4,74.671092
-9.945915,7,74.82146
-10.836082,4,75.003571
-13.497511,3,75.112283
56.852412,5,75.400078
-13.738359,3,75.494639
52.4974,4,75.906053
-14.446193,3,76.057958
54.071374,4,76.500757
56.672101,7,76.688656
-14.393386,3,76.791241
-12.722407,4,76.981923
-9.929477,7,77.454903
44.01182,9,77.82644
44.886175,9,78.015076
-8.123842,5,78.206145
55.47075,7,78.556442
-15.499029,3,78.727484
-7.91483,5,79.201404
45.137347,9,79.469247
-15.338527,3,79.641324
-13.743446,3,79.748981
54.201588,4,80.107908
-13.211802,8,80.52817
-9.816123,7,80.705952
-14.324876,3,80.816919
-14.40563,3,80.916814
-14.479344,3,81.396868
-13.017832,4,81.815477
-7.182193,6,81.949856
57.416938,7,82.105171
-12.02003,4,82.279737
-11.206789,4,82.748527
57.929543,5,82.927227
-8.780999,7,83.563311
52.782864,8,83.731198
-11.080644,4,83.842312
-13.490118,3,84.121477
-8.253044,5,84.268207
-15.501763,3,84.480878
-8.248347,5,84.74025
-13.552594,3,84.843147
53.287558,4,85.124082
37.641185,10,85.332401
57.269544,5,85.661751
-13.699693,3,85.760394
-11.502789,4,86.111809
-13.548261,3,86.315623
57.673121,7,86.490741
57.30472,5,86.945845
-13.779748,3,87.054222
-11.595398,4,87.171532
45.805082,9,87.371255
-14.338335,3,87.476759
-14.429665,3,87.579471
49.781004,3,87.748852
-11.575689,4,87.865746
-15.407505,3,87.991449
-14.228358,3,88.115645
50.502617,3,88.561139
-15.498931,3,88.914851
54.021543,4,89.113149
51.959828,8,89.300669
-8.233162,5,89.496686
-15.492772,3,89.665189
-13.512338,3,90.049062
-10.898405,4,90.401007
-11.334969,4,90.581783
-11.340364,4,90.87447
57.734223,6,91.173877
-11.99283,8,91.338207
-13.521408,3,91.626675
49.496567,3,91.958606
-8.134683,5,92.399806
58.563117,6,92.624288
-11.389775,4,92.811501
-14.359364,3,93.122231
57.912321,6,93.383671
57.359904,5,93.58234
-6.055302,6,93.741338
-13.523448,3,94.193102
-10.831074,4,94.39064
-15.519514,3,94.570433
-14.391618,3,94.890395
-14.506396,3,95.005626
-15.475761,3,95.128495
-6.955523,6,95.294647
58.382178,6,95.459209
-15.218538,3,95.74518
-13.584796,3,95.8511
-11.600807,4,95.962311
-13.54605,3,96.067464
57.1096,6,96.263216
-8.079108,6,96.47482
54.17423,4,96.756967
57.450244,5,97.236089
-14.550751,3,97.369986
-8.02205,5,97.499667
-13.703963,3,97.605666
-14.402034,3,97.737366
-11.899339,4,98.195511
53.189332,4,98.368659
-7.599752,6,98.518954
-13.596653,3,98.630619
-11.492397,4,98.987392
-8.467034,5,99.137494
52.217182,4,99.304071
-13.733838,3,99.415747
58.838864,6,99.670166
-8.243143,5,99.911356
54.172335,4,100.064881
57.556,5,100.372316
53.403064,4,100.675086
-13.526977,3,101.005731
58.921863,6,101.21287
57.796305,6,101.567418
-13.506185,3,101.707132
-15.430522,3,102.038772
-15.498971,3,102.155544
-13.604133,3,102.473365
-11.457962,4,102.626251
-8.154327,5,102.89669
-11.299038,4,103.057476
-13.694601,3,103.15955
-11.336532,4,103.3334
-14.901603,3,103.624709
57.409323,6,103.926894
-11.524742,4,104.058323
-11.102165,4,104.179725
57.92956,5,104.324464
-7.379724,5,104.714298
-8.232105,5,104.871687
-7.62215,5,105.076186
-7.986922,5,105.438401
-7.178644,5,106.14276
-7.844618,5,106.704348
59.050919,6,106.90222
-11.303127,4,107.038633
-15.388271,3,107.164352
-13.510615,3,107.506683
-14.705541,3,107.605559
-6.003118,6,107.759376
-11.59173,4,107.872073
-11.618843,4,107.985187
-13.555321,3,108.15477
53.207207,4,108.464418
53.111407,4,108.655061
-13.771929,3,108.756622
57.875345,5,108.912694
57.5873,5,109.04996
-15.186769,3,109.374291
57.954867,5,109.719285
-14.254113,3,109.985992
57.940764,5,110.18729
-11.336012,4,110.357772
54.165907,4,110.633272
-7.741109,6,111.176916
58.749438,6,111.36411
-11.260282,4,111.506345
