run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,rule_distance_compensation,rule_target_attenuation,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,jet_to_bin_lead_m,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,trigger_lead_m,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_050041_746997_seed42,1,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.000000,1.400000,1.000000,0.120000,0.500000,0.060000,0.120000,240,1.000000,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,-0.150000,5024,-2.014984,1.293360,9.245298,5025,-2.014984,1.297527,9.245298,1.645025,1.639997,0.128521,0.256800,0.994558,0.605957,0.602660,8.640461,0.623604,0.000000,1.000000,0.000000,-1.890489,1.417949,9.286870,1.665963,0.992563,0.408905,-2.014984,-0.415380,9.206031,9.296667,0,0,,,,,0,,,,,0,0,,missed_bin,insufficient_lateral_travel,0,5746,-0.415380,2.984786,9.206031
20260730_050041_746997_seed42,2,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.000000,1.400000,1.000000,0.120000,0.500000,0.060000,0.120000,5987,24.945833,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.020000,10730,-2.014984,1.122527,9.245298,10731,-2.014984,1.126693,9.245298,1.640625,1.639997,0.045399,0.256800,0.999319,0.939406,0.938766,13.987791,1.422709,0.000000,1.000000,0.000000,-1.747744,1.247076,9.402039,3.997408,0.991128,2.191310,-2.014984,0.454453,8.887283,9.840187,287,1563,10825,-0.675811,1.510821,9.705677,1,10849,-0.386339,1.588878,9.823375,1,1,3,correct_bin,collected,1,11166,0.454453,1.851598,8.887283
20260730_050041_746997_seed42,3,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.000000,1.400000,1.000000,0.120000,0.500000,0.060000,0.120000,11407,47.529167,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.150000,16119,-2.014984,0.993360,9.245298,16120,-2.014984,0.997527,9.245298,1.649082,1.639997,0.172860,0.256800,0.990199,0.404053,0.400093,10.778584,1.082573,0.000000,1.000000,0.000000,-1.852700,1.117957,9.317525,2.959725,0.992531,1.451832,-2.014984,-0.969989,9.213264,9.446620,617,2240,16225,-0.970195,1.427060,9.382857,0,,,,,0,0,,missed_bin,funnel_collision,0,16841,-1.014144,1.910247,9.213683
20260730_050041_746997_seed42,4,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.000000,1.400000,1.000000,0.120000,0.500000,0.060000,0.120000,17082,71.175000,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.250000,21770,-2.014984,0.893360,9.245298,21771,-2.014984,0.897527,9.245298,1.662505,1.639997,0.272644,0.256800,0.975977,0.104936,0.102415,6.493832,0.442392,0.000000,1.000000,0.000000,-1.960478,1.017652,9.231161,1.166376,0.989017,0.025954,-2.014984,-1.274299,9.223636,9.245298,0,0,,,,,0,,,,,0,0,,missed_bin,insufficient_lateral_travel,0,22492,-1.338204,2.743558,9.223901
