run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_042444_757389_seed42,11,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,48774,203.225000,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,53516,-2.364984,1.122527,9.245298,53523,-2.364984,1.151693,9.245298,1.290203,1.289997,0.023040,0.214800,1.524559,0.977252,1.489879,18.215258,1.452372,0.000000,1.000000,0.000000,-2.082969,1.272022,9.489270,3.740041,0.990180,2.859399,-2.364984,-0.095527,9.196584,9.821121,229,834,53673,-0.097317,1.755812,9.547729,1,53654,-0.385648,1.682320,9.689464,1,1,,missed_bin,below_rim_not_confirmed,0,54244,-0.303269,2.819300,9.198486
20260730_042444_757389_seed42,12,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,54485,227.020833,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,59227,-2.189984,1.120578,9.245298,59235,-2.189984,1.153912,9.245298,1.465152,1.464997,0.021341,0.235800,1.221032,0.983751,1.201192,14.624714,1.314774,0.000000,1.000000,0.000000,-1.952109,1.274293,9.441327,3.354404,0.991258,2.492721,-2.189984,0.068687,9.175093,9.773840,560,2150,59388,-0.168686,1.756223,9.713010,1,59372,-0.389679,1.700142,9.766031,1,1,,missed_bin,below_rim_not_confirmed,0,59956,0.066753,2.450399,9.178693
20260730_042444_757389_seed42,13,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,60197,250.820833,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,64940,-2.014984,1.122527,9.245298,64947,-2.014984,1.151693,9.245298,1.640159,1.639997,0.023040,0.256800,0.999826,0.984030,0.983858,11.983594,1.180358,0.000000,1.000000,0.000000,-1.813002,1.272113,9.401848,2.987212,0.992115,2.125475,-2.014984,0.433248,8.887502,9.774594,258,1041,65071,-0.683246,1.656957,9.701845,1,65113,-0.389163,1.794752,9.765408,1,1,3,correct_bin,collected,1,65392,0.433248,1.845547,8.887502
20260730_042444_757389_seed42,14,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,65633,273.470833,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,70371,-1.839984,1.120533,9.245298,70379,-1.839984,1.153866,9.245298,1.815123,1.814997,0.021375,0.277800,0.833742,0.988229,0.823928,10.009018,1.039459,0.000000,1.000000,0.000000,-1.668641,1.274311,9.368599,2.590601,0.992457,1.777336,-1.839984,-0.836464,9.213157,9.583742,163,202,70486,-0.872098,1.592064,9.546128,0,,,,,0,0,,missed_bin,funnel_collision,0,71100,-0.971372,2.797606,9.213732
20260730_042444_757389_seed42,15,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,71341,297.254167,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,76083,-1.664984,1.122527,9.245298,76090,-1.664984,1.151693,9.245298,1.990130,1.989997,0.023040,0.298800,0.705822,0.988179,0.697478,8.476834,0.916508,0.000000,1.000000,0.000000,-1.518527,1.272142,9.342996,2.255138,0.992708,1.453337,-1.664984,-0.935820,9.213209,9.474084,214,590,76184,-0.939480,1.537665,9.446218,0,,,,,0,0,,missed_bin,funnel_collision,0,76811,-1.013816,2.432238,9.213604
20260730_042444_757389_seed42,16,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,77052,321.050000,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,82274,-2.364984,3.122527,9.245298,82281,-2.364984,3.151693,9.245298,1.290202,1.289996,0.023040,0.214800,1.524560,0.977253,1.489881,18.215283,1.452324,0.000000,1.000000,0.000000,-2.082965,3.272022,9.489290,3.740136,0.990180,2.859546,-2.364984,-0.095287,9.196257,9.821110,182,642,82431,-0.097271,3.755820,9.547156,1,82412,-0.385551,3.682322,9.689118,1,1,,missed_bin,below_rim_not_confirmed,0,83002,-0.347784,4.806408,9.200569
20260730_042444_757389_seed42,17,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,83243,346.845833,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,88465,-2.189984,3.120982,9.245298,88472,-2.189984,3.150149,9.245298,1.465197,1.464996,0.024272,0.235800,1.220966,0.979031,1.195363,14.608488,1.323096,0.000000,1.000000,0.000000,-1.951187,3.270529,9.442355,3.376627,0.991234,2.516280,-2.189984,0.078752,9.186249,9.773825,530,1359,88626,-0.135013,3.754843,9.698551,1,88608,-0.386359,3.691795,9.764283,1,1,,missed_bin,below_rim_not_confirmed,0,89193,0.078752,4.465379,9.187512
20260730_042444_757389_seed42,18,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,89434,372.641667,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,94657,-2.014984,3.122527,9.245298,94664,-2.014984,3.151693,9.245298,1.640158,1.639996,0.023040,0.256800,0.999826,0.984030,0.983859,11.983607,1.180338,0.000000,1.000000,0.000000,-1.812999,3.272113,9.401864,2.987291,0.992115,2.125669,-2.014984,0.587970,8.905224,9.774813,304,1032,94788,-0.683197,3.656953,9.701860,1,94830,-0.389017,3.794721,9.765402,1,1,4,correct_bin,collected,1,95160,0.587970,3.806885,8.905224
20260730_042444_757389_seed42,19,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,95401,397.504167,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,100619,-1.839984,3.120964,9.245298,100626,-1.839984,3.150131,9.245298,1.815159,1.814996,0.024287,0.277800,0.833713,0.984830,0.821065,10.001684,1.045694,0.000000,1.000000,0.000000,-1.668049,3.270576,9.369229,2.607291,0.992453,1.794196,-1.839984,-0.824394,9.210950,9.595696,169,206,100733,-0.866286,3.588226,9.553070,0,,,,,0,0,,missed_bin,funnel_collision,0,101347,-0.955164,4.776310,9.211867
20260730_042444_757389_seed42,20,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,101588,423.283333,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,106810,-1.664984,3.122527,9.245298,106817,-1.664984,3.151693,9.245298,1.990130,1.989996,0.023040,0.298800,0.705822,0.988179,0.697479,8.476841,0.916501,0.000000,1.000000,0.000000,-1.518528,3.272142,9.343013,2.255124,0.992707,1.453563,-1.664984,-0.935805,9.211646,9.474120,628,1318,106911,-0.939466,3.537669,9.446241,0,,,,,0,0,,missed_bin,funnel_collision,0,107538,-1.013734,3.941389,9.211946
20260730_042444_757389_seed42,21,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,107779,449.079167,4,lysis tube,,,0.000000,0,,,5,,1.000000,113487,-2.364984,5.122527,9.212298,113494,-2.364984,5.151693,9.212298,1.290987,1.289995,0.050600,0.214799,1.522954,0.894953,1.362973,17.214470,1.539398,0.000000,1.000000,0.000000,-2.079947,5.272020,9.465480,3.989086,0.989889,3.218274,-2.364984,0.671266,8.848752,9.871289,19,54,113656,0.215660,5.804559,9.287202,1,113619,-0.378004,5.659514,9.718964,1,1,5,correct_bin,collected,1,113694,0.671266,5.948453,8.848752
20260730_042444_757389_seed42,22,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,113935,474.729167,4,lysis tube,,,0.000000,0,,,5,,1.000000,119643,-2.189984,5.122527,9.212298,119650,-2.189984,5.151693,9.212298,1.465869,1.464995,0.050600,0.235799,1.219981,0.912018,1.112645,13.844778,1.374065,0.000000,1.000000,0.000000,-1.953255,5.272067,9.414542,3.488342,0.990959,2.784027,-2.189984,0.353928,0.220596,9.873771,228,1102,119778,-0.515919,5.672791,9.848367,1,119788,-0.382259,5.711325,9.858535,1,1,,missed_bin,below_rim_not_confirmed,0,120371,-0.455820,7.139074,0.220596
20260730_042444_757389_seed42,23,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,120373,501.554167,4,lysis tube,,,0.000000,0,,,5,,1.000000,126081,-2.014984,5.122527,9.212298,126088,-2.014984,5.151693,9.212298,1.640776,1.639995,0.050600,0.256799,0.999155,0.925289,0.924507,11.393419,1.207232,0.000000,1.000000,0.000000,-1.817166,5.272100,9.372277,3.014417,0.991805,2.322911,-2.014984,-0.096160,8.879734,9.753012,165,388,126196,-0.860723,5.593732,9.668507,1,126329,-0.392013,6.019869,9.238114,1,1,5,correct_bin,collected,1,126456,-0.096160,6.442163,8.879734
20260730_042444_757389_seed42,24,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,126697,527.904167,4,lysis tube,,,0.000000,0,,,5,,1.000000,132405,-1.839984,5.122527,9.212298,132412,-1.839984,5.151693,9.212298,1.815701,1.814995,0.050600,0.277799,0.833264,0.935800,0.779769,9.550413,1.051335,0.000000,1.000000,0.000000,-1.673215,5.272123,9.337869,2.590141,0.992443,1.882670,-1.839984,-0.965440,8.989528,9.547898,103,138,132507,-0.986702,5.542040,9.517040,0,,,,,0,0,,missed_bin,funnel_collision,0,133133,-1.103051,6.760821,8.989528
20260730_042444_757389_seed42,25,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,133374,555.725000,4,lysis tube,,,0.000000,0,,,5,,1.000000,139082,-1.664984,5.122527,9.212298,139089,-1.664984,5.151693,9.212298,1.990639,1.989995,0.050600,0.298799,0.705494,0.944260,0.666169,8.128013,0.914205,0.000000,1.000000,0.000000,-1.522960,5.272136,9.310060,2.227766,0.992900,1.492062,-1.664984,-1.036614,9.198960,9.431402,70,85,139172,-1.039154,5.493528,9.415186,0,,,,,0,0,,missed_bin,funnel_collision,0,139810,-1.132672,6.600192,9.198967
