run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,final_bin,outcome,success,final_step,final_x,final_y,final_z
20260730_022049_691967_seed42,11,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.060000,0.120000,47393,197.470833,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,52135,-2.364984,1.122527,9.245298,52142,-2.364984,1.151693,9.245298,1.290203,1.289997,0.023040,0.214800,1.524559,0.977252,1.489879,14.630300,1.407256,0.000000,1.000000,0.000000,-2.069966,1.272056,9.349562,4.245860,0.990629,1.415719,,missed_bin,0,52863,-1.004877,2.617030,9.213611
20260730_022049_691967_seed42,12,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.060000,0.120000,53104,221.266667,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,57846,-2.189984,1.120578,9.245298,57854,-2.189984,1.153912,9.245298,1.465152,1.464997,0.021341,0.235800,1.221032,0.983751,1.201192,11.754309,1.191240,0.000000,1.000000,0.000000,-1.948738,1.274305,9.319648,3.568892,0.991471,1.041156,,missed_bin,0,58575,-1.014169,1.968165,9.213545
20260730_022049_691967_seed42,13,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,0.510000,0.120000,0.060000,0.120000,58816,245.066667,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,63559,-2.014984,1.122527,9.245298,63566,-2.014984,1.151693,9.245298,1.640159,1.639997,0.023040,0.256800,0.999826,0.984030,0.983858,9.635963,1.018701,0.000000,1.000000,0.000000,-1.814071,1.272101,9.297046,3.035044,0.991988,0.740859,,missed_bin,0,64287,-0.355027,2.924672,9.201797
20260730_022049_691967_seed42,14,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,0.510000,0.120000,0.060000,0.120000,64528,268.866667,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,69266,-1.839984,1.120533,9.245298,69274,-1.839984,1.153866,9.245298,1.815123,1.814997,0.021375,0.277800,0.833742,0.988229,0.823928,8.050698,0.868277,0.000000,1.000000,0.000000,-1.671324,1.274277,9.278898,2.574284,0.992283,0.479251,,missed_bin,0,69995,-1.004154,2.745530,9.213425
20260730_022049_691967_seed42,15,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,0.510000,0.120000,0.060000,0.120000,70236,292.650000,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,74978,-1.664984,1.122527,9.245298,74985,-1.664984,1.151693,9.245298,1.990130,1.989997,0.023040,0.298800,0.705822,0.988179,0.697478,6.819774,0.751498,0.000000,1.000000,0.000000,-1.521082,1.272099,9.264935,2.219168,0.992391,0.276564,,missed_bin,0,75706,-1.007302,2.623508,9.213640
20260730_022049_691967_seed42,16,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.060000,0.120000,75947,316.445833,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,81169,-2.364984,3.122527,9.245298,81176,-2.364984,3.151693,9.245298,1.290202,1.289996,0.023040,0.214800,1.524560,0.977253,1.489881,14.630319,1.407236,0.000000,1.000000,0.000000,-2.069968,3.272056,9.349580,4.245806,0.990628,1.415933,,missed_bin,0,81897,-0.985734,4.679069,9.211883
20260730_022049_691967_seed42,17,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.060000,0.120000,82138,342.241667,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,87360,-2.189984,3.120982,9.245298,87367,-2.189984,3.150149,9.245298,1.465197,1.464996,0.024272,0.235800,1.220966,0.979031,1.195363,11.737520,1.200830,0.000000,1.000000,0.000000,-1.947662,3.270542,9.320267,3.598532,0.991457,1.057972,,missed_bin,0,88088,-1.013725,3.764649,9.211414
20260730_022049_691967_seed42,18,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,0.510000,0.120000,0.060000,0.120000,88329,368.037500,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,93552,-2.014984,3.122527,9.245298,93559,-2.014984,3.151693,9.245298,1.640158,1.639996,0.023040,0.256800,0.999826,0.984030,0.983859,9.635972,1.018699,0.000000,1.000000,0.000000,-1.814072,3.272101,9.297056,3.035035,0.991988,0.740982,,missed_bin,0,94280,-0.364951,4.871472,9.200656
20260730_022049_691967_seed42,19,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,0.510000,0.120000,0.060000,0.120000,94521,393.837500,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,99739,-1.839984,3.120964,9.245298,99746,-1.839984,3.150131,9.245298,1.815159,1.814996,0.024287,0.277800,0.833713,0.984830,0.821065,8.042401,0.873986,0.000000,1.000000,0.000000,-1.670728,3.270542,9.279240,2.591680,0.992280,0.489154,,missed_bin,0,100467,-1.004406,4.701980,9.211557
20260730_022049_691967_seed42,20,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,0.510000,0.120000,0.060000,0.120000,100708,419.616667,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,105930,-1.664984,3.122527,9.245298,105937,-1.664984,3.151693,9.245298,1.990130,1.989996,0.023040,0.298800,0.705822,0.988179,0.697479,6.819779,0.751498,0.000000,1.000000,0.000000,-1.521082,3.272099,9.264939,2.219167,0.992392,0.276611,,missed_bin,0,106658,-1.007364,4.642040,9.211757
20260730_022049_691967_seed42,21,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.060000,0.120000,106899,445.412500,4,lysis tube,,,0.000000,0,,,5,,1.000000,112607,-2.364984,5.122527,9.212298,112614,-2.364984,5.151693,9.212298,1.290987,1.289995,0.050600,0.214799,1.522954,0.894953,1.362973,13.469897,1.399652,0.000000,1.000000,0.000000,-2.083468,5.272065,9.313426,4.200243,0.990981,1.439984,,missed_bin,0,113335,-1.109435,6.638904,9.194986
20260730_022049_691967_seed42,22,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.060000,0.120000,113576,473.233333,4,lysis tube,,,0.000000,0,,,5,,1.000000,119284,-2.189984,5.122527,9.212298,119291,-2.189984,5.151693,9.212298,1.465869,1.464995,0.050600,0.235799,1.219981,0.912018,1.112645,10.946660,1.172615,0.000000,1.000000,0.000000,-1.959574,5.272100,9.282833,3.499619,0.991912,1.019307,,missed_bin,0,120012,-1.199251,6.524064,9.199175
20260730_022049_691967_seed42,23,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,0.510000,0.120000,0.060000,0.120000,120253,501.054167,4,lysis tube,,,0.000000,0,,,5,,1.000000,125961,-2.014984,5.122527,9.212298,125968,-2.014984,5.151693,9.212298,1.640776,1.639995,0.050600,0.256799,0.999155,0.925289,0.924507,9.070552,0.988769,0.000000,1.000000,0.000000,-1.823438,5.272122,9.259513,2.937890,0.992556,0.679806,,missed_bin,0,126689,-0.884886,6.727293,9.118717
20260730_022049_691967_seed42,24,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,0.510000,0.120000,0.060000,0.120000,126930,528.875000,4,lysis tube,,,0.000000,0,,,5,,1.000000,132638,-1.839984,5.122527,9.212298,132645,-1.839984,5.151693,9.212298,1.815701,1.814995,0.050600,0.277799,0.833264,0.935800,0.779769,7.636130,0.841966,0.000000,1.000000,0.000000,-1.678441,5.272136,9.241489,2.492706,0.992992,0.409799,,missed_bin,0,133366,-0.708737,6.872911,8.300373
20260730_022049_691967_seed42,25,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,0.510000,0.120000,0.060000,0.120000,133518,556.325000,4,lysis tube,,,0.000000,0,,,5,,1.000000,139226,-1.664984,5.122527,9.212298,139233,-1.664984,5.151693,9.212298,1.990639,1.989995,0.050600,0.298799,0.705494,0.944260,0.666169,6.516146,0.724472,0.000000,1.000000,0.000000,-1.527001,5.272143,9.227327,2.138409,0.993272,0.194572,,missed_bin,0,139954,-1.005347,6.601134,9.195374
