run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,rule_distance_compensation,rule_target_attenuation,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,jet_to_bin_lead_m,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,trigger_lead_m,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_051755_218817_seed42,1,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,2.100000,1.500000,0.120000,0.500000,0.060000,0.120000,240,1.000000,3,polystyrene tube 2,,,0.000000,0,,,4,,0.700000,0.020000,359,-2.364984,3.119798,9.245298,360,-2.364984,3.123964,9.245298,1.290889,1.289996,0.047997,0.214800,1.523156,0.904962,1.378399,15.488204,1.466826,0.000000,1.000000,0.000000,-2.077899,3.244326,9.418710,4.131312,0.990693,2.290456,-2.364984,1.039999,8.861991,9.807537,144,452,481,-0.517189,3.615605,9.763168,1,490,-0.383542,3.646365,9.792122,1,1,4,correct_bin,collected,1,750,1.039999,3.965373,8.861991
20260730_051755_218817_seed42,2,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.175000,2.100000,1.500000,0.120000,0.500000,0.060000,0.120000,799,3.329167,3,polystyrene tube 2,,,0.000000,0,,,4,,0.800000,0.020000,918,-2.189984,3.119798,9.245298,919,-2.189984,3.123964,9.245298,1.465782,1.464996,0.047997,0.235800,1.220108,0.920474,1.123078,16.257515,1.553606,0.000000,1.000000,0.000000,-1.886636,3.244312,9.432383,4.386286,0.990337,2.495517,-2.189984,0.614787,8.858948,9.792741,107,306,1024,-0.467199,3.551843,9.772736,1,1029,-0.376684,3.570069,9.779743,1,1,4,correct_bin,collected,1,1198,0.614787,3.953277,8.858948
20260730_051755_218817_seed42,3,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.000000,2.100000,1.500000,0.120000,0.500000,0.060000,0.120000,1247,5.195833,3,polystyrene tube 2,,,0.000000,0,,,4,,0.900000,0.020000,1366,-2.014984,3.119798,9.245298,1367,-2.014984,3.123964,9.245298,1.640698,1.639996,0.047997,0.256800,0.999239,0.932517,0.931808,16.902954,1.630934,0.000000,1.000000,0.000000,-1.697679,3.244300,9.444093,4.614293,0.990030,2.678275,-2.014984,0.688823,8.887845,9.821077,124,384,1458,-0.454289,3.495946,9.772711,1,1462,-0.374699,3.510567,9.780210,1,1,4,correct_bin,collected,1,1647,0.688823,4.016014,8.887845
20260730_051755_218817_seed42,4,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.175000,2.100000,1.500000,0.120000,0.500000,0.060000,0.120000,1696,7.066667,3,polystyrene tube 2,,,0.000000,0,,,4,,0.900000,0.020000,1815,-1.839984,3.119798,9.245298,1816,-1.839984,3.123964,9.245298,1.815631,1.814996,0.047997,0.277800,0.833322,0.942043,0.785026,14.173450,1.465111,0.000000,1.000000,0.000000,-1.567180,3.244343,9.406764,4.120475,0.991007,2.293044,-1.839984,0.509460,8.929911,9.861393,576,3399,1895,-0.700827,3.448239,9.691804,1,1919,-0.383088,3.528306,9.833995,1,1,,missed_bin,below_rim_not_confirmed,0,2537,0.509460,3.751918,8.929911
20260730_051755_218817_seed42,5,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.350000,2.100000,1.500000,0.120000,0.500000,0.060000,0.120000,2586,10.775000,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,0.020000,2705,-1.664984,3.119798,9.245298,2706,-1.664984,3.123964,9.245298,1.990575,1.989996,0.047997,0.298800,0.705535,0.949702,0.670048,14.840318,1.538940,0.000000,1.000000,0.000000,-1.378492,3.244331,9.418303,4.336930,0.990709,2.467968,-1.664984,0.613036,8.826122,9.891401,168,598,2770,-0.733117,3.387216,9.671875,1,2794,-0.384239,3.469984,9.848536,1,1,4,correct_bin,collected,1,3041,0.613036,4.064043,8.826122
