run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,rule_distance_compensation,rule_target_attenuation,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,jet_to_bin_lead_m,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,trigger_lead_m,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_051316_103640_seed42,1,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.175000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,240,1.000000,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,-0.050000,376,-1.839984,1.190631,9.245298,377,-1.839984,1.194798,9.245298,1.815225,1.814997,0.028776,0.277800,0.833658,0.978769,0.815958,14.204266,1.296501,0.000000,1.000000,0.000000,-1.588919,1.315191,9.388266,3.633717,0.991489,1.890201,-1.839984,0.325464,8.042438,9.783855,381,885,459,-0.802962,1.531174,9.617719,1,510,-0.392117,1.697097,9.780084,1,1,4,wrong_bin,wrong_bin,0,955,0.001707,2.872076,8.042438
20260730_051316_103640_seed42,2,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.175000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,1016,4.233333,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.020000,1136,-1.839984,1.123965,9.245298,1137,-1.839984,1.128131,9.245298,1.815531,1.814997,0.044036,0.277800,0.833405,0.950986,0.792556,14.214555,1.461251,0.000000,1.000000,0.000000,-1.566942,1.248509,9.406892,4.109745,0.991003,2.282802,-1.839984,0.563062,8.917112,9.860578,340,1795,1216,-0.703299,1.452408,9.690414,1,1240,-0.388305,1.532407,9.832855,1,1,3,correct_bin,collected,1,1622,0.563062,1.806661,8.917112
20260730_051316_103640_seed42,3,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.175000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,1683,7.012500,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.060000,1793,-1.839984,1.082298,9.245298,1794,-1.839984,1.086465,9.245298,1.816965,1.814997,0.084543,0.277800,0.832220,0.830910,0.691500,13.475570,1.454654,0.000000,1.000000,0.000000,-1.579933,1.206858,9.395990,4.084886,0.991277,2.270907,-1.839984,0.585712,8.921019,9.854747,277,1307,1874,-0.709979,1.414350,9.686311,1,1900,-0.381262,1.499674,9.834128,1,1,3,correct_bin,collected,1,2246,0.585712,1.876969,8.921019
20260730_051316_103640_seed42,4,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.175000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,2307,9.612500,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.100000,2407,-1.839984,1.040631,9.245298,2408,-1.839984,1.044798,9.245298,1.819352,1.814997,0.125810,0.277800,0.830254,0.663518,0.550888,12.353648,1.361467,0.000000,1.000000,0.000000,-1.611334,1.165217,9.370438,3.789589,0.991747,2.085200,-1.839984,0.267830,9.156777,9.795048,563,2126,2490,-0.785477,1.380775,9.632785,1,2533,-0.384943,1.522031,9.794349,1,1,,missed_bin,below_rim_not_confirmed,0,3129,0.105284,2.812813,9.170422
20260730_051316_103640_seed42,5,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.350000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,3190,13.291667,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,-0.050000,3326,-1.664984,1.190631,9.245298,3327,-1.664984,1.194798,9.245298,1.990205,1.989997,0.028776,0.298800,0.705773,0.981621,0.692802,12.060363,1.160648,0.000000,1.000000,0.000000,-1.447295,1.315213,9.361610,3.208252,0.991817,1.628353,-1.664984,-0.626982,9.213228,9.729519,214,230,3399,-0.888441,1.490514,9.525230,0,,,,,0,0,,missed_bin,funnel_collision,0,4048,-0.989625,2.617936,9.213574
20260730_051316_103640_seed42,6,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.350000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,4109,17.120833,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.020000,4229,-1.664984,1.123965,9.245298,4230,-1.664984,1.128131,9.245298,1.990484,1.989997,0.044036,0.298800,0.705594,0.957490,0.675599,12.073531,1.300749,0.000000,1.000000,0.000000,-1.429487,1.248541,9.375641,3.620239,0.991585,1.944613,-1.664984,0.143377,9.177884,9.783855,627,1674,4298,-0.843512,1.408132,9.578412,1,4354,-0.389502,1.602502,9.781574,1,1,,missed_bin,below_rim_not_confirmed,0,4951,-0.013471,2.400966,9.177884
20260730_051316_103640_seed42,7,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.350000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,5012,20.883333,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.060000,5122,-1.664984,1.082298,9.245298,5123,-1.664984,1.086465,9.245298,1.991792,1.989997,0.084543,0.298800,0.704752,0.852048,0.600483,11.567625,1.293624,0.000000,1.000000,0.000000,-1.439680,1.206882,9.367735,3.593043,0.991771,1.930822,-1.664984,0.042558,9.182336,9.783851,251,543,5192,-0.847665,1.370184,9.573929,1,5252,-0.392548,1.579989,9.779986,1,1,,missed_bin,below_rim_not_confirmed,0,5844,-0.090830,2.686768,9.183303
20260730_051316_103640_seed42,8,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.350000,1.700000,1.214000,0.120000,0.500000,0.060000,0.120000,5905,24.604167,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,0.100000,6005,-1.664984,1.040631,9.245298,6006,-1.664984,1.044798,9.245298,1.993970,1.989997,0.125810,0.298800,0.703353,0.701478,0.493387,10.781948,1.212003,0.000000,1.000000,0.000000,-1.464442,1.165227,9.348188,3.344934,0.992133,1.748359,-1.664984,-0.443263,9.210755,9.779019,282,343,6077,-0.887342,1.337023,9.526950,0,,,,,0,0,,missed_bin,funnel_collision,0,6727,-0.977985,2.427723,9.213601
