run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_042249_068000_seed42,1,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,240,1.000000,2,polystyrene tube 1,,,0.000000,0,,,3,,1.000000,4983,-2.014984,1.122527,9.245298,4990,-2.014984,1.151693,9.245298,1.640159,1.639997,0.023040,0.256800,0.999826,0.984030,0.983858,11.983594,1.180358,0.000000,1.000000,0.000000,-1.813002,1.272113,9.401848,2.987212,0.992115,2.125475,-2.014984,0.433248,8.887502,9.774594,258,1041,5114,-0.683246,1.656957,9.701845,1,5156,-0.389163,1.794752,9.765408,1,1,3,correct_bin,collected,1,5435,0.433248,1.845547,8.887502
20260730_042249_068000_seed42,2,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,5676,23.650000,3,polystyrene tube 2,,,0.000000,0,,,4,,1.000000,10899,-2.014984,3.122527,9.245298,10906,-2.014984,3.151693,9.245298,1.640158,1.639996,0.023040,0.256800,0.999826,0.984030,0.983859,11.983607,1.180338,0.000000,1.000000,0.000000,-1.812999,3.272113,9.401864,2.987291,0.992115,2.125669,-2.014984,0.587970,8.905224,9.774813,304,1032,11030,-0.683197,3.656953,9.701860,1,11072,-0.389017,3.794721,9.765402,1,1,4,correct_bin,collected,1,11402,0.587970,3.806885,8.905224
20260730_042249_068000_seed42,3,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,11643,48.512500,4,lysis tube,,,0.000000,0,,,5,,1.000000,17351,-2.014984,5.122527,9.212298,17358,-2.014984,5.151693,9.212298,1.640776,1.639995,0.050600,0.256799,0.999155,0.925289,0.924507,11.393419,1.207232,0.000000,1.000000,0.000000,-1.817166,5.272100,9.372277,3.014417,0.991805,2.322911,-2.014984,-0.096160,8.879734,9.753012,165,388,17466,-0.860723,5.593732,9.668507,1,17599,-0.392013,6.019869,9.238114,1,1,5,correct_bin,collected,1,17726,-0.096160,6.442163,8.879734
