group_type,group_value,trials,correct,success_rate,mean_distance_m,mean_axial_distance_m,mean_radial_offset_m,mean_attenuation,mean_peak_force_n,mean_impulse_ns,mean_end_velocity_x_mps,mean_end_velocity_z_mps
offset_m,-0.350000,5,2,0.400000,1.290448,1.289997,0.032590,1.449857,17.780413,1.393579,3.622591,2.721274
offset_m,-0.175000,5,1,0.200000,1.465393,1.464997,0.032496,1.171217,14.309992,1.270819,3.264622,2.399462
offset_m,0.000000,5,3,0.600000,1.640352,1.639997,0.032590,0.965205,11.764585,1.141895,2.903220,2.048252
offset_m,0.175000,5,1,0.200000,1.815317,1.814997,0.032506,0.809037,9.843728,1.013911,2.546647,1.709677
offset_m,0.350000,5,0,0.000000,1.990289,1.989997,0.032590,0.687659,8.356903,0.895374,2.214169,1.409888
tube_class,polypropene tube 1,5,2,0.400000,1.640341,1.639998,0.033134,1.018483,12.354971,1.064787,2.717638,1.852385
tube_class,polypropene tube 2,5,1,0.200000,1.640340,1.639998,0.033134,1.018484,12.355367,1.069260,2.792887,1.804675
tube_class,polystyrene tube 1,5,1,0.200000,1.640153,1.639997,0.022367,1.039267,12.661884,1.180694,2.985479,2.141654
tube_class,polystyrene tube 2,5,1,0.200000,1.640169,1.639996,0.023536,1.037529,12.657181,1.183591,2.993294,2.149851
tube_class,lysis tube,5,2,0.400000,1.640794,1.639995,0.050600,0.969213,12.026219,1.217247,3.061950,2.339989
