episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4500000,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,0.059907791828999746,-1.0,-1.9550762081710005,-0.16666666666666607,1.7083061148843173,0.16923004628714536,0.4086910708197869,0.3597288470447037,0.03624378194601643,0,0.8999999761581421,5,57.57473333968278
2,4500001,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.0607867807958512,1.0,-1.9541972192041488,-0.1333333333333333,1.7059085447687623,0.1321139379021724,0.5650197374395156,1.1568487156351996,0.12416110836569572,0,1.0,6,59.099294027802884
3,4500002,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,-0.22503768934663446,1.0,-2.2400216893466345,-0.16666666666666607,1.4250418326228662,0.16923004628714536,0.43334379110355786,0.45630123194256816,0.04402941551361878,0,0.8999999761581421,5,57.57473333968278
4,4500003,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.8999999761581421,-0.22427932615894433,-1.0,-2.2392633261589445,-0.13333333333333341,1.4218692848466425,0.13211393790218154,0.6648638060905909,0.9376635959779518,0.09754999148345261,0,0.8999999761581421,6,58.51070396513866
5,4500004,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.8999999761581421,-0.23472867388079402,1.0,-2.249712673880794,-0.13333333333333341,1.4114654751229285,0.13211393790218154,0.6686011175290075,0.9451131073342915,0.09804286107487696,0,0.8999999761581421,6,58.51070396513866
6,4500005,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.08359126354757379,-1.0,-1.9313927364524264,-0.1333333333333333,1.7284792897273213,0.1299503331717042,0.5664873142740235,0.6408512899960681,0.06962858553478257,0,1.0,6,59.099294027802884
7,4500006,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.04226434668561413,1.0,-1.972719653314386,-0.1333333333333333,1.6874423500418032,0.1321139379021724,0.5712349626071468,1.1722380142150266,0.12531856316187595,0,1.0,6,59.099294027802884
8,4500007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.149623458413928,-1.0,-1.8653605415860721,-0.1333333333333333,1.7943321837190778,0.12995033317171348,0.5441727283509105,0.6587265730405633,0.07236793700024491,0,1.0,6,59.09929402780289
9,4500008,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.22638701617699297,1.0,-1.7885969838230071,-0.13333333333333341,1.871054662112874,0.13211393790218154,0.5119679892841033,0.8054427578933602,0.08905991080324087,0,1.0,6,59.09929402780288
10,4500009,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.13507023438260352,-1.0,-1.8799137656173965,-0.1333333333333333,1.7798167747428835,0.1299503331717042,0.5490195963282708,0.6150800612190033,0.06741873189738415,0,1.0,6,59.099294027802884
11,4500010,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.0681692431548645,1.0,-1.9468147568451357,-0.1333333333333333,1.7131020217298436,0.12995033317171348,0.5718160263612359,0.7028861084876751,0.07615564371070033,0,1.0,6,59.09929402780289
12,4500011,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.20443486579622266,-1.0,-2.219418865796223,-0.1333333333333333,1.4416297891212708,0.1321139379021724,0.6577582499576798,1.4024848681698865,0.13987988565742598,0,1.0,6,59.099294027802884
13,4500012,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.040374696212320316,-1.0,-1.9746093037876797,-0.1333333333333333,1.6853888772693013,0.12995033317171348,0.5815281511412494,0.718740116804272,0.07746379609867626,0,1.0,6,59.09929402780289
14,4500013,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8999999761581421,-0.326746204132528,1.0,-2.341730204132528,-0.16666666666666652,1.323342256145158,0.16312360746887347,0.4741011044464606,0.6800408306116821,0.06745314387961299,0,0.8999999761581421,5,57.57473333968272
15,4500014,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.24868326761295786,1.0,-2.263667267612958,-0.1333333333333333,1.3975734668128146,0.1321139379021724,0.6735845219410749,1.4489185390331594,0.14221542936379675,0,1.0,6,59.099294027802884
16,4500015,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.2456512780303618,1.0,-1.7693327219696382,-0.16666666666666607,1.893225376748624,0.16923004628714536,0.38412965342766947,0.3724385388016039,0.03900307009019425,0,1.0,5,57.96761414037141
17,4500016,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,1.0,0.3462932091215962,-1.0,-1.6686907908784039,-0.13333333333333341,1.990679579040074,0.13211393790218154,0.476612162798679,0.741526290428317,0.08324010129245353,0,1.0,6,-5.900705972197121
18,4500017,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.22866006052051746,-1.0,-1.7863239394794825,-0.1333333333333333,1.8733227533914452,0.1321139379021724,0.511273028513646,1.0273097871264945,0.11359782228090388,0,1.0,6,59.099294027802884
19,4500018,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.21428440273648752,1.0,-2.2292684027364875,-0.1333333333333333,1.4318219834281452,0.1321139379021724,0.6612857582319474,1.4127091392911613,0.14040871092801557,0,1.0,6,59.099294027802884
20,4500019,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.20188451069154512,1.0,-1.8130994893084549,-0.1333333333333333,1.8466148376624398,0.1321139379021724,0.5195161502585283,1.0468979222040131,0.11527838555221097,0,1.0,6,59.099294027802884
21,4500020,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.0654333137587873,-1.0,-2.0804173137587876,-0.13333333333333341,1.5800970593748345,0.13211393790218154,0.6083108912892579,0.9922765228913528,0.10333019587812213,0,1.0,6,59.09929402780288
